1;393,8
2;410,97
3;391
4;468,44
5;506
6;495
7;504,38
8;480,39
9;460,93
10;390
11;384,5
12;367,99
13;368,2
14;397,99
15;450,41
16;524,57
17;530
18;480,39
19;404
20;377,99
21;345,99
22;349,7
23;339,99
